filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
1.jpg,545659,"{}",99,0,"{""name"":""point"",""cx"":105,""cy"":134}","{}"
1.jpg,545659,"{}",99,1,"{""name"":""point"",""cx"":106,""cy"":155}","{}"
1.jpg,545659,"{}",99,2,"{""name"":""point"",""cx"":104,""cy"":111}","{}"
1.jpg,545659,"{}",99,3,"{""name"":""point"",""cx"":122,""cy"":87}","{}"
1.jpg,545659,"{}",99,4,"{""name"":""point"",""cx"":119,""cy"":103}","{}"
1.jpg,545659,"{}",99,5,"{""name"":""point"",""cx"":111,""cy"":12}","{}"
1.jpg,545659,"{}",99,6,"{""name"":""point"",""cx"":110,""cy"":27}","{}"
1.jpg,545659,"{}",99,7,"{""name"":""point"",""cx"":111,""cy"":52}","{}"
1.jpg,545659,"{}",99,8,"{""name"":""point"",""cx"":121,""cy"":54}","{}"
1.jpg,545659,"{}",99,9,"{""name"":""point"",""cx"":242,""cy"":45}","{}"
1.jpg,545659,"{}",99,10,"{""name"":""point"",""cx"":125,""cy"":270}","{}"
1.jpg,545659,"{}",99,11,"{""name"":""point"",""cx"":129,""cy"":477}","{}"
1.jpg,545659,"{}",99,12,"{""name"":""point"",""cx"":139,""cy"":503}","{}"
1.jpg,545659,"{}",99,13,"{""name"":""point"",""cx"":159,""cy"":517}","{}"
1.jpg,545659,"{}",99,14,"{""name"":""point"",""cx"":163,""cy"":527}","{}"
1.jpg,545659,"{}",99,15,"{""name"":""point"",""cx"":248,""cy"":723}","{}"
1.jpg,545659,"{}",99,16,"{""name"":""point"",""cx"":317,""cy"":464}","{}"
1.jpg,545659,"{}",99,17,"{""name"":""point"",""cx"":342,""cy"":604}","{}"
1.jpg,545659,"{}",99,18,"{""name"":""point"",""cx"":361,""cy"":619}","{}"
1.jpg,545659,"{}",99,19,"{""name"":""point"",""cx"":364,""cy"":632}","{}"
1.jpg,545659,"{}",99,20,"{""name"":""point"",""cx"":366,""cy"":646}","{}"
1.jpg,545659,"{}",99,21,"{""name"":""point"",""cx"":367,""cy"":662}","{}"
1.jpg,545659,"{}",99,22,"{""name"":""point"",""cx"":369,""cy"":671}","{}"
1.jpg,545659,"{}",99,23,"{""name"":""point"",""cx"":341,""cy"":636}","{}"
1.jpg,545659,"{}",99,24,"{""name"":""point"",""cx"":379,""cy"":738}","{}"
1.jpg,545659,"{}",99,25,"{""name"":""point"",""cx"":384,""cy"":876}","{}"
1.jpg,545659,"{}",99,26,"{""name"":""point"",""cx"":383,""cy"":855}","{}"
1.jpg,545659,"{}",99,27,"{""name"":""point"",""cx"":382,""cy"":836}","{}"
1.jpg,545659,"{}",99,28,"{""name"":""point"",""cx"":406,""cy"":1078}","{}"
1.jpg,545659,"{}",99,29,"{""name"":""point"",""cx"":407,""cy"":1027}","{}"
1.jpg,545659,"{}",99,30,"{""name"":""point"",""cx"":305,""cy"":1544}","{}"
1.jpg,545659,"{}",99,31,"{""name"":""point"",""cx"":307,""cy"":1672}","{}"
1.jpg,545659,"{}",99,32,"{""name"":""point"",""cx"":307,""cy"":1661}","{}"
1.jpg,545659,"{}",99,33,"{""name"":""point"",""cx"":469,""cy"":1118}","{}"
1.jpg,545659,"{}",99,34,"{""name"":""point"",""cx"":426,""cy"":1173}","{}"
1.jpg,545659,"{}",99,35,"{""name"":""point"",""cx"":1063,""cy"":123}","{}"
1.jpg,545659,"{}",99,36,"{""name"":""point"",""cx"":1351,""cy"":97}","{}"
1.jpg,545659,"{}",99,37,"{""name"":""point"",""cx"":1241,""cy"":46}","{}"
1.jpg,545659,"{}",99,38,"{""name"":""point"",""cx"":1189,""cy"":10}","{}"
1.jpg,545659,"{}",99,39,"{""name"":""point"",""cx"":1210,""cy"":5}","{}"
1.jpg,545659,"{}",99,40,"{""name"":""point"",""cx"":1415,""cy"":235}","{}"
1.jpg,545659,"{}",99,41,"{""name"":""point"",""cx"":1464,""cy"":251}","{}"
1.jpg,545659,"{}",99,42,"{""name"":""point"",""cx"":1389,""cy"":130}","{}"
1.jpg,545659,"{}",99,43,"{""name"":""point"",""cx"":1244,""cy"":81}","{}"
1.jpg,545659,"{}",99,44,"{""name"":""point"",""cx"":1085,""cy"":216}","{}"
1.jpg,545659,"{}",99,45,"{""name"":""point"",""cx"":1075,""cy"":327}","{}"
1.jpg,545659,"{}",99,46,"{""name"":""point"",""cx"":1070,""cy"":369}","{}"
1.jpg,545659,"{}",99,47,"{""name"":""point"",""cx"":1052,""cy"":558}","{}"
1.jpg,545659,"{}",99,48,"{""name"":""point"",""cx"":940,""cy"":360}","{}"
1.jpg,545659,"{}",99,49,"{""name"":""point"",""cx"":1010,""cy"":219}","{}"
1.jpg,545659,"{}",99,50,"{""name"":""point"",""cx"":1024,""cy"":208}","{}"
1.jpg,545659,"{}",99,51,"{""name"":""point"",""cx"":1036,""cy"":199}","{}"
1.jpg,545659,"{}",99,52,"{""name"":""point"",""cx"":860,""cy"":296}","{}"
1.jpg,545659,"{}",99,53,"{""name"":""point"",""cx"":872,""cy"":276}","{}"
1.jpg,545659,"{}",99,54,"{""name"":""point"",""cx"":846,""cy"":333}","{}"
1.jpg,545659,"{}",99,55,"{""name"":""point"",""cx"":800,""cy"":477}","{}"
1.jpg,545659,"{}",99,56,"{""name"":""point"",""cx"":918,""cy"":866}","{}"
1.jpg,545659,"{}",99,57,"{""name"":""point"",""cx"":918,""cy"":876}","{}"
1.jpg,545659,"{}",99,58,"{""name"":""point"",""cx"":1012,""cy"":815}","{}"
1.jpg,545659,"{}",99,59,"{""name"":""point"",""cx"":1011,""cy"":794}","{}"
1.jpg,545659,"{}",99,60,"{""name"":""point"",""cx"":1011,""cy"":763}","{}"
1.jpg,545659,"{}",99,61,"{""name"":""point"",""cx"":1007,""cy"":926}","{}"
1.jpg,545659,"{}",99,62,"{""name"":""point"",""cx"":1007,""cy"":914}","{}"
1.jpg,545659,"{}",99,63,"{""name"":""point"",""cx"":951,""cy"":968}","{}"
1.jpg,545659,"{}",99,64,"{""name"":""point"",""cx"":939,""cy"":963}","{}"
1.jpg,545659,"{}",99,65,"{""name"":""point"",""cx"":891,""cy"":968}","{}"
1.jpg,545659,"{}",99,66,"{""name"":""point"",""cx"":865,""cy"":860}","{}"
1.jpg,545659,"{}",99,67,"{""name"":""point"",""cx"":898,""cy"":1148}","{}"
1.jpg,545659,"{}",99,68,"{""name"":""point"",""cx"":915,""cy"":1128}","{}"
1.jpg,545659,"{}",99,69,"{""name"":""point"",""cx"":1021,""cy"":1075}","{}"
1.jpg,545659,"{}",99,70,"{""name"":""point"",""cx"":994,""cy"":1126}","{}"
1.jpg,545659,"{}",99,71,"{""name"":""point"",""cx"":996,""cy"":1137}","{}"
1.jpg,545659,"{}",99,72,"{""name"":""point"",""cx"":997,""cy"":1187}","{}"
1.jpg,545659,"{}",99,73,"{""name"":""point"",""cx"":940,""cy"":1003}","{}"
1.jpg,545659,"{}",99,74,"{""name"":""point"",""cx"":961,""cy"":985}","{}"
1.jpg,545659,"{}",99,75,"{""name"":""point"",""cx"":1176,""cy"":1943}","{}"
1.jpg,545659,"{}",99,76,"{""name"":""point"",""cx"":1175,""cy"":1932}","{}"
1.jpg,545659,"{}",99,77,"{""name"":""point"",""cx"":1384,""cy"":1339}","{}"
1.jpg,545659,"{}",99,78,"{""name"":""point"",""cx"":1333,""cy"":1219}","{}"
1.jpg,545659,"{}",99,79,"{""name"":""point"",""cx"":1365,""cy"":958}","{}"
1.jpg,545659,"{}",99,80,"{""name"":""point"",""cx"":1384,""cy"":829}","{}"
1.jpg,545659,"{}",99,81,"{""name"":""point"",""cx"":1308,""cy"":622}","{}"
1.jpg,545659,"{}",99,82,"{""name"":""point"",""cx"":1329,""cy"":608}","{}"
1.jpg,545659,"{}",99,83,"{""name"":""point"",""cx"":1332,""cy"":613}","{}"
1.jpg,545659,"{}",99,84,"{""name"":""point"",""cx"":1333,""cy"":618}","{}"
1.jpg,545659,"{}",99,85,"{""name"":""point"",""cx"":1480,""cy"":815}","{}"
1.jpg,545659,"{}",99,86,"{""name"":""point"",""cx"":1438,""cy"":777}","{}"
1.jpg,545659,"{}",99,87,"{""name"":""point"",""cx"":1420,""cy"":756}","{}"
1.jpg,545659,"{}",99,88,"{""name"":""point"",""cx"":1398,""cy"":727}","{}"
1.jpg,545659,"{}",99,89,"{""name"":""point"",""cx"":926,""cy"":898}","{}"
1.jpg,545659,"{}",99,90,"{""name"":""point"",""cx"":1536,""cy"":837}","{}"
1.jpg,545659,"{}",99,91,"{""name"":""point"",""cx"":1582,""cy"":882}","{}"
1.jpg,545659,"{}",99,92,"{""name"":""point"",""cx"":1346,""cy"":657}","{}"
1.jpg,545659,"{}",99,93,"{""name"":""point"",""cx"":1363,""cy"":682}","{}"
1.jpg,545659,"{}",99,94,"{""name"":""point"",""cx"":1386,""cy"":619}","{}"
1.jpg,545659,"{}",99,95,"{""name"":""point"",""cx"":1651,""cy"":821}","{}"
1.jpg,545659,"{}",99,96,"{""name"":""point"",""cx"":1631,""cy"":808}","{}"
1.jpg,545659,"{}",99,97,"{""name"":""point"",""cx"":1613,""cy"":798}","{}"
